Algorithm,InputSize,InputType,ExecutionTimeNs,MaxRecursionDepth,AdditionalMetric
MergeSort,100,Random,127600,4,704
QuickSort,100,Random,189400,5,569
DeterministicSelect,100,Random,304100,7,614
ClosestPair,100,Random,9455700,7,1153
MergeSort,100,Sorted,38000,4,392
QuickSort,100,Sorted,237700,5,572
DeterministicSelect,100,Sorted,99400,5,439
ClosestPair,100,Sorted,1049300,7,1194
MergeSort,100,Reverse-sorted,83100,4,876
QuickSort,100,Reverse-sorted,86600,5,632
DeterministicSelect,100,Reverse-sorted,109900,6,641
ClosestPair,100,Reverse-sorted,762400,7,1194
MergeSort,100,Duplicate-heavy,39800,4,392
QuickSort,100,Duplicate-heavy,509600,2,4950
DeterministicSelect,100,Duplicate-heavy,2130200,50,6775
ClosestPair,100,Duplicate-heavy,27435900,7,1124
MergeSort,2000,Random,4898600,8,22906
QuickSort,2000,Random,1217300,8,25620
DeterministicSelect,2000,Random,414400,10,10976
ClosestPair,2000,Random,46057900,11,42009
MergeSort,2000,Sorted,658800,8,15872
QuickSort,2000,Sorted,223700,8,25497
DeterministicSelect,2000,Sorted,3262800,9,9116
ClosestPair,2000,Sorted,6695800,11,42734
MergeSort,2000,Reverse-sorted,510900,8,28640
QuickSort,2000,Reverse-sorted,213600,8,24386
DeterministicSelect,2000,Reverse-sorted,1443500,10,12880
ClosestPair,2000,Reverse-sorted,7347900,11,42734
MergeSort,2000,Duplicate-heavy,1187300,8,22549
QuickSort,2000,Duplicate-heavy,528100,5,110196
DeterministicSelect,2000,Duplicate-heavy,896400,71,17868
ClosestPair,2000,Duplicate-heavy,17435400,11,41267
MergeSort,10000,Random,3410800,11,128821
QuickSort,10000,Random,1859500,9,162049
DeterministicSelect,10000,Random,868800,13,56229
ClosestPair,10000,Random,68904600,13,253038
MergeSort,10000,Sorted,4342000,11,108976
QuickSort,10000,Sorted,1147600,9,151754
DeterministicSelect,10000,Sorted,570300,12,45901
ClosestPair,10000,Sorted,19806600,13,255902
MergeSort,10000,Reverse-sorted,16311600,11,143920
QuickSort,10000,Reverse-sorted,1149500,9,155893
DeterministicSelect,10000,Reverse-sorted,745000,12,65057
ClosestPair,10000,Reverse-sorted,10748700,13,255902
MergeSort,10000,Duplicate-heavy,1921300,11,128907
QuickSort,10000,Duplicate-heavy,3199800,6,587002
DeterministicSelect,10000,Duplicate-heavy,1301900,102,58101
ClosestPair,10000,Duplicate-heavy,102414500,13,250201
MergeSort,50000,Random,9457800,13,776516
QuickSort,50000,Random,9896300,11,917535
DeterministicSelect,50000,Random,4279200,15,266069
ClosestPair,50000,Random,601357600,16,1477816
MergeSort,50000,Sorted,3779100,13,645904
QuickSort,50000,Sorted,5190400,11,918336
DeterministicSelect,50000,Sorted,1632200,14,229882
ClosestPair,50000,Sorted,115903100,16,1489550
MergeSort,50000,Reverse-sorted,5336900,13,880512
QuickSort,50000,Reverse-sorted,5765100,11,919046
DeterministicSelect,50000,Reverse-sorted,2926400,14,326593
ClosestPair,50000,Reverse-sorted,75031900,16,1489550
MergeSort,50000,Duplicate-heavy,10376100,13,777085
QuickSort,50000,Duplicate-heavy,15289100,8,3062520
DeterministicSelect,50000,Duplicate-heavy,3768400,104,257046
ClosestPair,50000,Duplicate-heavy,398911700,16,1466837
